model,transform,transform_key,block20_rmse_RANK,valid_rmse_CONFIRM,jack60_ci_low,jack60_ci_high,jack120_ci_low,jack120_ci_high,boot60_ci_low,boot60_ci_high,mae,mape_pct,r2,max_abs_err,cumene_pct_of_mean,loco5_mean,loco5_worst,sens_max_pred_shift,phys_in_range,phys_out_of_range,phys_T_monotone_slices,phys_extrap_ok,structurally_bounded,onnx_convertible,onnx_max_abs_diff,onnx_fail_reason,best_params
Lasso,raw,raw,0.009179,0.03583,0.016515,0.058332,0.006922,0.073065,0.018882,0.052163,0.023846,3.3311,0.95016,0.12154,5.1583,0.032254,0.055473,0.076697,18,9,9/9,False,False,True,5.9e-07,,"{""alpha"": 0.0001}"
Lasso,logit,logit,0.008225,0.036358,0.024027,0.049893,0.0217,0.052974,0.025139,0.050514,0.027648,4.8606,0.94868,0.16935,5.2525,0.035326,0.056716,0.048436,27,0,9/9,True,True,True,6.31e-07,,"{""alpha"": 0.01}"
Lasso,log,log,0.013001,0.148844,0.049675,0.269166,-0.027586,0.414445,0.024393,0.229427,0.07409,8.6385,0.13996,0.38668,21.3352,0.054885,0.148844,0.123842,17,10,9/9,False,False,True,1.38e-06,,"{""alpha"": 0.0001}"
Lasso,log(1-y),log1m,0.01518,0.061438,0.04093,0.083912,0.033957,0.093081,0.043658,0.084332,0.048131,8.4504,0.85347,0.21028,8.8204,0.046876,0.070811,0.037561,27,0,9/9,True,False,True,6.32e-07,,"{""alpha"": 0.01}"
Lasso,arcsin√y,arcsin,0.008218,0.018394,0.011715,0.025774,0.013039,0.024248,0.012441,0.02584,0.012924,2.13,0.98687,0.12777,2.6796,0.03067,0.062923,0.072121,27,0,9/9,True,True,True,6.44e-07,,"{""alpha"": 0.0001}"
Linear 1차,raw,raw,0.009126,0.035647,0.016326,0.058176,0.006697,0.073005,0.018571,0.052031,0.023715,3.2865,0.95067,0.11999,5.133,0.030051,0.049931,0.079301,18,9,9/9,False,False,True,2.22e-06,,{}
Linear 1차,logit,logit,0.008368,0.020987,0.013161,0.02966,0.014238,0.028384,0.01373,0.029012,0.014628,2.3065,0.9829,0.13325,3.0504,0.059768,0.195612,0.093691,27,0,9/9,True,True,True,1.96e-06,,{}
Linear 1차,log,log,0.01294,0.148699,0.049589,0.268959,-0.027674,0.414321,0.024167,0.229244,0.073931,8.6081,0.14163,0.38639,21.3145,0.0529,0.148699,0.101618,17,10,9/9,False,False,True,3.2e-06,,{}
Linear 1차,log(1-y),log1m,0.017618,0.036736,0.024229,0.050469,0.019733,0.056238,0.024289,0.048915,0.027007,4.0603,0.94761,0.15833,5.3136,0.110866,0.360014,0.20491,26,1,9/9,True,False,True,1.96e-06,,{}
Linear 1차,arcsin√y,arcsin,0.008204,0.018034,0.011572,0.025165,0.012892,0.023644,0.012323,0.02534,0.012722,2.074,0.98737,0.12623,2.6292,0.033194,0.074807,0.074445,27,0,9/9,True,True,True,1.71e-06,,{}
